id,key,value,concept_code,parent_id,sort_order,category,default,reserved,is_available
"",md,MD,"","",1,user_credential,"","",1
"",phd,PhD,"","",2,user_credential,"","",1
"",md_phd,MD/PhD,"","",3,user_credential,"","",1
"",osteopathic,DO,"","",4,user_credential,"","",1
"",pharmd,PharmD,"","",5,user_credential,"","",1
"",dds,DDS,"","",6,user_credential,"","",1
"",dmd,DMD,"","",7,user_credential,"","",1
"",dvm,DVM,"","",8,user_credential,"","",1
"",ms,MS,"","",9,user_credential,"","",1
"",ma,MA,"","",10,user_credential,"","",1
"",bsn,BSN,"","",11,user_credential,"","",1
"",rn,RN,"","",12,user_credential,"","",1
"",msn,MSN,"","",13,user_credential,"","",1
"",dnp,DNP,"","",14,user_credential,"","",1
"",adn,ADN,"","",15,user_credential,"","",1
"",ba,BA,"","",16,user_credential,"","",1
"",mba,MBA,"","",17,user_credential,"","",1
"",other,Other,"","",18,user_credential,"","",1
"",none,None,"","",19,user_credential,"","",1
